Year,Name,BA,H,2B,3B,HR,BB,SB,Position
 , ,0, , , , , , ,
2022,A.J. Pollock,0.245,120,26,1,14,32,3,Hitter
2022,Aaron Judge,0.311,177,28,0,62,111,16,Hitter
2022,Adam Frazier,0.238,129,22,4,3,46,11,Hitter
2022,Adolis Garcia,0.25,151,34,5,27,40,25,Hitter
2022,Alec Bohm,0.28,164,24,3,13,31,2,Hitter
2022,Alejandro Kirk,0.285,134,19,0,14,63,0,Hitter
2022,Alex Bregman,0.259,142,38,0,23,87,1,Hitter
2022,Alex Verdugo,0.28,166,39,1,11,42,1,Hitter
2022,Amed Rosario,0.283,180,26,9,11,25,18,Hitter
2022,Andres Gimenez,0.297,146,26,3,17,34,20,Hitter
2022,Andrew Benintendi,0.304,140,23,3,5,52,8,Hitter
2022,Andrew McCutchen,0.237,122,25,0,17,57,8,Hitter
2022,Andrew Vaughn,0.271,138,28,1,17,31,0,Hitter
2022,Anthony Rizzo,0.224,104,21,1,32,58,6,Hitter
2022,Anthony Santander,0.24,138,24,0,33,55,0,Hitter
2022,Austin Hays,0.25,134,35,2,16,34,2,Hitter
2022,Austin Riley,0.273,168,39,2,38,57,2,Hitter
2022,Bo Bichette,0.29,189,43,1,24,41,13,Hitter
2022,Bobby Witt Jr.,0.254,150,31,6,20,30,30,Hitter
2022,Brandon Drury,0.263,136,31,2,28,38,2,Hitter
2022,Brandon Nimmo,0.274,159,30,7,16,71,3,Hitter
2022,Brendan Rodgers,0.266,140,30,3,13,46,0,Hitter
2022,Bryan Reynolds,0.262,142,19,4,27,56,7,Hitter
2022,C.J. Cron,0.257,148,28,3,29,43,0,Hitter
2022,Carlos Correa,0.291,152,24,1,22,61,0,Hitter
2022,Carlos Santana,0.202,87,18,0,19,71,0,Hitter
2022,Cedric Mullins II,0.258,157,32,4,16,47,34,Hitter
2022,Cesar Hernandez,0.248,139,28,4,1,45,10,Hitter
2022,Charlie Blackmon,0.264,140,22,6,16,32,4,Hitter
2022,Christian Walker,0.242,141,25,2,36,69,2,Hitter
2022,Christian Yelich,0.252,145,25,4,14,88,19,Hitter
2022,Cody Bellinger,0.21,106,27,3,19,38,14,Hitter
2022,Corey Seager,0.245,145,24,1,33,58,3,Hitter
2022,DJ LeMahieu,0.261,122,18,0,12,67,4,Hitter
2022,Dansby Swanson,0.277,177,32,1,25,49,18,Hitter
2022,Daulton Varsho,0.235,125,23,3,27,46,16,Hitter
2022,Eduardo Escobar,0.24,119,26,4,20,40,0,Hitter
2022,Elvis Andrus,0.249,133,32,0,17,39,18,Hitter
2022,Eugenio Suarez,0.236,128,24,2,31,73,0,Hitter
2022,Francisco Lindor,0.27,170,25,5,26,59,16,Hitter
2022,Freddie Freeman,0.325,199,47,2,21,84,13,Hitter
2022,George Springer,0.267,137,22,4,25,54,14,Hitter
2022,Gio Urshela,0.285,143,27,3,13,41,1,Hitter
