Year,Name,ERA,BB,SO,G,IP,Position
 , ,0, , , , ,
2022,Aaron Nola,3.25,29,235,32,205,Pitcher
2022,Adam Wainwright,3.71,54,143,32,191.2,Pitcher
2022,Alek Manoah,2.24,51,180,31,196.2,Pitcher
2022,Cal Quantrill,3.38,47,128,32,186.1,Pitcher
2022,Carlos Rodon,2.88,52,237,31,178,Pitcher
2022,Charlie Morton,4.34,63,205,31,172,Pitcher
2022,Chris Bassitt,3.42,49,167,30,181.2,Pitcher
2022,Cole Irvin,3.98,36,128,30,181,Pitcher
2022,Corbin Burnes,2.94,51,243,33,202,Pitcher
2022,Corey Kluber,4.34,21,139,31,164,Pitcher
2022,Dylan Cease,2.2,78,227,32,184,Pitcher
2022,Framber Valdez,2.82,67,194,31,201.1,Pitcher
2022,German Marquez,4.95,63,150,31,181.2,Pitcher
2022,Gerrit Cole,3.5,50,257,33,200.2,Pitcher
2022,Jameson Taillon,3.91,32,151,32,177.1,Pitcher
2022,Joe Musgrove,2.93,42,184,30,181,Pitcher
2022,Jordan Lyles,4.42,52,144,32,179,Pitcher
2022,Jordan Montgomery,3.48,36,158,32,178.1,Pitcher
2022,Jose Berrios,5.23,45,149,32,172,Pitcher
2022,Jose Quintana,2.93,47,137,32,165.2,Pitcher
2022,Jose Urquidy,3.94,38,134,29,164.1,Pitcher
2022,Julio Urias,2.16,41,166,31,175,Pitcher
2022,Justin Verlander,1.75,29,185,28,175,Pitcher
2022,Kevin Gausman,3.35,28,205,31,174.2,Pitcher
2022,Kyle Freeland,4.53,53,131,31,174.2,Pitcher
2022,Kyle Gibson,5.05,48,144,31,167.2,Pitcher
2022,Kyle Wright,3.19,53,174,30,180.1,Pitcher
2022,Logan Gilbert,3.2,49,174,32,185.2,Pitcher
2022,Logan Webb,2.9,49,163,32,192.1,Pitcher
2022,Marco Gonzales,4.13,50,103,32,183,Pitcher
2022,Martin Perez,2.89,69,169,32,196.1,Pitcher
2022,Max Fried,2.48,32,170,30,185.1,Pitcher
2022,Merrill Kelly,3.37,61,177,33,200.1,Pitcher
2022,Miles Mikolas,3.29,39,153,33,202.1,Pitcher
2022,Nick Pivetta,4.56,73,175,33,179.2,Pitcher
2022,Pablo Lopez,3.75,53,174,32,180,Pitcher
2022,Robbie Ray,3.71,62,212,32,189,Pitcher
2022,Sandy Alcantara,2.28,50,207,32,228.2,Pitcher
2022,Shane Bieber,2.88,36,198,31,200,Pitcher
2022,Shane McClanahan,2.54,38,194,28,166.1,Pitcher
2022,Shohei Ohtani,2.33,44,219,28,166,Pitcher
2022,Triston McKenzie,2.96,44,190,31,191.1,Pitcher
2022,Tyler Anderson,2.57,34,138,30,178.2,Pitcher
2022,Yu Darvish,3.1,37,197,30,194.2,Pitcher
2022,Zac Gallen,2.54,47,192,31,184,Pitcher
2021,Aaron Nola,4.63,39,223,32,180.2,Pitcher
2021,Adam Wainwright,3.05,50,174,32,206.1,Pitcher
2021,Anthony DeSclafani,3.17,42,152,31,167.2,Pitcher
2021,Brandon Woodruff,2.56,43,211,30,179.1,Pitcher
2021,Charlie Morton,3.34,58,216,33,185.2,Pitcher
2021,Chris Flexen,3.61,40,125,31,179.2,Pitcher
2021,Cole Irvin,4.24,42,125,32,178.1,Pitcher
2021,Corbin Burnes,2.43,34,234,28,167,Pitcher
2021,Dallas Keuchel,5.28,59,95,32,162,Pitcher
2021,Dylan Cease,3.91,68,226,32,165.2,Pitcher
2021,Frankie Montas,3.37,57,207,32,187,Pitcher
2021,German Marquez,4.4,64,176,32,180,Pitcher
2021,Gerrit Cole,3.23,41,243,30,181.1,Pitcher
2021,Hyun-Jin Ryu,4.37,37,143,31,169,Pitcher
2021,Joe Musgrove,3.18,54,203,32,181.1,Pitcher
2021,Jordan Lyles,5.15,56,146,32,180,Pitcher
2021,Jose Berrios,3.52,45,204,32,192,Pitcher
2021,Julio Urias,2.96,38,195,32,185.2,Pitcher
2021,Kevin Gausman,2.81,50,227,33,192,Pitcher
2021,Kyle Gibson,3.71,64,155,31,182,Pitcher
2021,Kyle Hendricks,4.77,44,131,32,181,Pitcher
2021,Lance McCullers Jr.,3.16,76,185,28,162.1,Pitcher
2021,Lucas Giolito,3.53,52,201,31,178.2,Pitcher
2021,Luis Castillo,3.98,75,192,33,187.2,Pitcher
2021,Marcus Stroman,3.02,44,158,33,179,Pitcher
2021,Max Fried,3.04,41,158,28,165.2,Pitcher
2021,Max Scherzer,2.46,36,236,30,179.1,Pitcher
2021,Nathan Eovaldi,3.75,35,195,32,182.1,Pitcher
2021,Patrick Corbin,5.82,60,143,31,171.2,Pitcher
2021,Robbie Ray,2.84,52,248,32,193.1,Pitcher
2021,Sandy Alcantara,3.19,50,201,33,205.2,Pitcher
2021,Sean Manaea,3.91,41,194,32,179.1,Pitcher
2021,Tyler Anderson,4.53,38,134,31,167,Pitcher
2021,Tyler Mahle,3.75,64,210,33,180,Pitcher
2021,Wade Miley,3.37,50,125,28,163,Pitcher
2021,Walker Buehler,2.47,52,212,33,207.2,Pitcher
2021,Yu Darvish,4.22,44,199,30,166.1,Pitcher
2021,Zack Greinke,4.16,36,120,30,171,Pitcher
2021,Zack Wheeler,2.78,46,247,32,213.1,Pitcher
